person_id,xing,ming,synjob,pinji_category,start_year,start_yyyymm,end_year,end_yyyymm,synjob_eng
183040334600,李,芝昌,尚書,1-3,1851.75,18511201-00:00:00,1852.5,18520901-00:00:00,Minister
183320041500,呉,鍾駿,學政,1-3,1850.5,18500901-00:00:00,1852.5,18520901-00:00:00,Provincial Education Commissioner
183320041500,呉,鍾駿,學政,no-rank,1850.5,18500901-00:00:00,1852.75,18521201-00:00:00,Provincial Education Commissioner
183320041700,曹,履泰,事中,4-6,1850.5,18500901-00:00:00,1850.5,18500901-00:00:00,Supervising Censor (?)
183320041700,曹,履泰,兵備道,no-rank,1855.0,18550301-00:00:00,1856.0,18560301-00:00:00,Military clerk
183320041700,曹,履泰,分巡,4-6,1851.25,18510601-00:00:00,1855.75,18551201-00:00:00,分巡
183320041700,曹,履泰,廣東惠潮嘉等處地方兵俻道,4-6,1851.25,18510601-00:00:00,1855.75,18551201-00:00:00,廣東惠潮嘉等處地方兵俻道
183320041700,曹,履泰,請旨,4-6,1851.25,18510601-00:00:00,1855.75,18551201-00:00:00,Petitioner
183320041800,蔣,元溥,侍講,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,attendant
183320041800,蔣,元溥,文淵閣校理,4-6,1851.25,18510601-00:00:00,1851.25,18510601-00:00:00,Member of the Hall of Profundity
183320042900,朱,鳯標,上書房,1-3,1862.25,18620601-00:00:00,1862.25,18620601-00:00:00,上書房
183320042900,朱,鳯標,上書房行走,1-3,1851.75,18511201-00:00:00,1860.75,18601201-00:00:00,Casual scholar
183320042900,朱,鳯標,事務,no-rank,1861.25,18610601-00:00:00,1861.25,18610601-00:00:00,Administrator
183320042900,朱,鳯標,侍郎,1-3,1850.5,18500901-00:00:00,1851.25,18510601-00:00:00,Vice Minister
183320042900,朱,鳯標,副主考,1-3,1852.75,18521201-00:00:00,1852.75,18521201-00:00:00,Assistant Provincial Examiner
183320042900,朱,鳯標,副總裁,1-3,1851.75,18511201-00:00:00,1862.25,18620601-00:00:00,Vice Chairman
183320042900,朱,鳯標,太子少保,1-3,1857.5,18570901-00:00:00,1858.75,18581201-00:00:00,Junior Guardian of the Heir Apparent
183320042900,朱,鳯標,實錄館總裁,1-3,1855.0,18550301-00:00:00,1856.25,18560601-00:00:00,實錄館總裁
183320042900,朱,鳯標,尚書,1-3,1854.75,18541201-00:00:00,1862.25,18620601-00:00:00,Minister
183320042900,朱,鳯標,庶吉士,1-3,1862.25,18620601-00:00:00,1862.25,18620601-00:00:00,Hanlin Bachelor
183320042900,朱,鳯標,庶吉士,no-rank,1856.75,18561201-00:00:00,1864.0,18640301-00:00:00,Hanlin Bachelor
183320042900,朱,鳯標,教書,1-3,1862.25,18620601-00:00:00,1862.25,18620601-00:00:00,教書
183320042900,朱,鳯標,正總裁,1-3,1854.0,18540301-00:00:00,1856.25,18560601-00:00:00,Senior Director-General
183320042900,朱,鳯標,經筵講官,1-3,1851.75,18511201-00:00:00,1862.25,18620601-00:00:00,Classics Colloquium Reader
183320042900,朱,鳯標,總師傅,1-3,1862.25,18620601-00:00:00,1862.25,18620601-00:00:00,Chief Master [shifu]
183320042900,朱,鳯標,總裁,1-3,1854.75,18541201-00:00:00,1855.75,18551201-00:00:00,Director-General
183320042900,朱,鳯標,通政使司通政使,1-3,1859.75,18591201-00:00:00,1859.75,18591201-00:00:00,通政使司通政使
183320042900,朱,鳯標,都察院副都御史,1-3,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,都察院副都御史
183320042900,朱,鳯標,都察院都御史,1-3,1851.75,18511201-00:00:00,1854.0,18540301-00:00:00,Chief Censor
183320042900,朱,鳯標,順天,1-3,1852.75,18521201-00:00:00,1852.75,18521201-00:00:00,順天
183320042900,朱,鳯標,？？？？,1-3,1857.5,18570901-00:00:00,1857.75,18571201-00:00:00,？？？？
183320043000,季,芝昌,經筵講官,1-3,1850.5,18500901-00:00:00,1850.5,18500901-00:00:00,Classics Colloquium Reader
183320043000,季,芝昌,總裁,1-3,1851.25,18510601-00:00:00,1851.25,18510601-00:00:00,Director-General
183320043000,季,芝昌,都察院都御史,1-3,1850.5,18500901-00:00:00,1851.25,18510601-00:00:00,Chief Censor
183340333300,曹,聫桂,同知,4-6,1850.5,18500901-00:00:00,1854.0,18540301-00:00:00,同知
183620041300,林,鴻年,政使,no-rank,1864.0,18640301-00:00:00,1864.0,18640301-00:00:00,(government officer)
183620041300,林,鴻年,知府,4-6,1850.5,18500901-00:00:00,1863.0,18630301-00:00:00,County Prefect
183620043400,何,冠英,分巡,4-6,1858.75,18581201-00:00:00,1860.75,18601201-00:00:00,分巡
183620043400,何,冠英,監察御史,4-6,1850.5,18500901-00:00:00,1850.5,18500901-00:00:00,Censor
183620043400,何,冠英,知府,4-6,1851.75,18511201-00:00:00,1857.0,18570301-00:00:00,County Prefect
183620043400,何,冠英,請旨,4-6,1858.75,18581201-00:00:00,1860.75,18601201-00:00:00,Petitioner
183620043400,何,冠英,貴州貴東兵備道轄黎都鎮思銅思等處地方,4-6,1858.75,18581201-00:00:00,1860.75,18601201-00:00:00,貴州貴東兵備道轄黎都鎮思銅思等處地方
183620043400,何,冠英,貴州貴東兵備道轄黎都鎮思銅思等處驛務,4-6,1857.5,18570901-00:00:00,1857.75,18571201-00:00:00,貴州貴東兵備道轄黎都鎮思銅思等處驛務
183620043400,何,冠英,題分巡,4-6,1857.5,18570901-00:00:00,1857.75,18571201-00:00:00,Head Commissioner of Surveillance Circuit
183620043500,蘇,敬衡,事務,1-3,1850.5,18500901-00:00:00,1852.75,18521201-00:00:00,Administrator
183920033700,鈕,福保,上書房行走,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Casual scholar
183920033700,鈕,福保,日講起居注官,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Day offical
183920033700,鈕,福保,春坊庶子,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Mentor of the Secretariat of the Heir Apparent
183920036500,金,國均,上書房行走,4-6,1854.0,18540301-00:00:00,1854.0,18540301-00:00:00,Casual scholar
183920036500,金,國均,侍讀,4-6,1850.5,18500901-00:00:00,1854.0,18540301-00:00:00,attendant reader
183920036500,金,國均,日講起居注官,4-6,1854.0,18540301-00:00:00,1854.0,18540301-00:00:00,Day offical
183920037500,江,國霖,事務,1-3,1854.75,18541201-00:00:00,1855.0,18550301-00:00:00,Administrator
183920037500,江,國霖,分巡,4-6,1850.5,18500901-00:00:00,1854.0,18540301-00:00:00,分巡
183920037500,江,國霖,政使,no-rank,1855.5,18550901-00:00:00,1857.75,18571201-00:00:00,(government officer)
183920037500,江,國霖,請旨,4-6,1851.25,18510601-00:00:00,1854.0,18540301-00:00:00,Petitioner
183920037500,江,國霖,雷瓊等處地方兵俻道,4-6,1850.5,18500901-00:00:00,1854.0,18540301-00:00:00,雷瓊等處地方兵俻道
183920187100,張,之萬,上書房行走,1-3,1862.25,18620601-00:00:00,1862.25,18620601-00:00:00,Casual scholar
183920187100,張,之萬,上書房行走,4-6,1857.75,18571201-00:00:00,1860.75,18601201-00:00:00,Casual scholar
183920187100,張,之萬,侍講,4-6,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,attendant
183920187100,張,之萬,侍讀,4-6,1859.25,18590601-00:00:00,1859.75,18591201-00:00:00,attendant reader
183920187100,張,之萬,侍郎,1-3,1862.25,18620601-00:00:00,1864.0,18640301-00:00:00,Vice Minister
183920187100,張,之萬,修撰,4-6,1850.5,18500901-00:00:00,1856.75,18561201-00:00:00,Senior Compiler
183920187100,張,之萬,學士,4-6,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,Academician
183920187100,張,之萬,學政,1-3,1852.75,18521201-00:00:00,1854.75,18541201-00:00:00,Provincial Education Commissioner
183920187100,張,之萬,學政,no-rank,1852.75,18521201-00:00:00,1855.0,18550301-00:00:00,Provincial Education Commissioner
183920187100,張,之萬,巡撫,1-3,1864.0,18640301-00:00:00,1864.0,18640301-00:00:00,巡撫
183920187100,張,之萬,日講起居注官,4-6,1856.25,18560601-00:00:00,1860.75,18601201-00:00:00,Day offical
183920187100,張,之萬,署巡撫,1-3,1863.0,18630301-00:00:00,1863.0,18630301-00:00:00,署巡撫
184020040300,李,承霖,上書房行走,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Casual scholar
184020040300,李,承霖,侍講,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,attendant
184020040300,李,承霖,學士,4-6,1851.75,18511201-00:00:00,1851.75,18511201-00:00:00,Academician
184020040300,李,承霖,文淵閣校理,4-6,1851.25,18510601-00:00:00,1851.25,18510601-00:00:00,Member of the Hall of Profundity
