person_id,xing,ming,synjob,pinji_category,start_year,start_yyyymm,end_year,end_yyyymm,synjob_eng
183320041500,呉,鍾駿,學政,1-3,1850.5,18500901-00:00:00,1852.5,18520901-00:00:00,Provincial Education Commissioner
183320041500,呉,鍾駿,學政,no-rank,1850.5,18500901-00:00:00,1852.75,18521201-00:00:00,Provincial Education Commissioner
183620041300,林,鴻年,政使,no-rank,1864.0,18640301-00:00:00,1864.0,18640301-00:00:00,(government officer)
183620041300,林,鴻年,知府,4-6,1850.5,18500901-00:00:00,1863.0,18630301-00:00:00,County Prefect
183920033700,鈕,福保,上書房行走,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Casual scholar
183920033700,鈕,福保,日講起居注官,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Day offical
183920033700,鈕,福保,春坊庶子,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Mentor of the Secretariat of the Heir Apparent
183920187100,張,之萬,上書房行走,1-3,1862.25,18620601-00:00:00,1862.25,18620601-00:00:00,Casual scholar
183920187100,張,之萬,上書房行走,4-6,1857.75,18571201-00:00:00,1860.75,18601201-00:00:00,Casual scholar
183920187100,張,之萬,侍講,4-6,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,attendant
183920187100,張,之萬,侍讀,4-6,1859.25,18590601-00:00:00,1859.75,18591201-00:00:00,attendant reader
183920187100,張,之萬,侍郎,1-3,1862.25,18620601-00:00:00,1864.0,18640301-00:00:00,Vice Minister
183920187100,張,之萬,修撰,4-6,1850.5,18500901-00:00:00,1856.75,18561201-00:00:00,Senior Compiler
183920187100,張,之萬,學士,4-6,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,Academician
183920187100,張,之萬,學政,1-3,1852.75,18521201-00:00:00,1854.75,18541201-00:00:00,Provincial Education Commissioner
183920187100,張,之萬,學政,no-rank,1852.75,18521201-00:00:00,1855.0,18550301-00:00:00,Provincial Education Commissioner
183920187100,張,之萬,巡撫,1-3,1864.0,18640301-00:00:00,1864.0,18640301-00:00:00,巡撫
183920187100,張,之萬,日講起居注官,4-6,1856.25,18560601-00:00:00,1860.75,18601201-00:00:00,Day offical
183920187100,張,之萬,署巡撫,1-3,1863.0,18630301-00:00:00,1863.0,18630301-00:00:00,署巡撫
184020040300,李,承霖,上書房行走,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Casual scholar
184020040300,李,承霖,侍講,4-6,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,attendant
